,target,source,Similarity
78,50531 NO SMILE CLOSE UP 5.24.18.JPG,50531 NO SMILE CLOSE UP 5.24.18.JPG,100.0
79,50532 NO SMILE CLOSE UP 5.24.18.JPG,50532 NO SMILE CLOSE UP 5.24.18.JPG,100.0
80,50541 NO SMILE BUST 3.2.18.JPG,50541 NO SMILE BUST 3.2.18.JPG,100.0
81,50542 NO SMILE CLOSE UP 3.2.18.JPG,50542 NO SMILE CLOSE UP 3.2.18.JPG,100.0
82,50551 NO SMILE CLOSE UP 8.8.18.JPG,50551 NO SMILE CLOSE UP 8.8.18.JPG,100.0
83,50552 NO SMILE CLOSE UP 8.8.18.JPG,50552 NO SMILE CLOSE UP 8.8.18.JPG,100.0
84,50571 NO SMILE CLOSE UP 09.21.2018.JPG,50571 NO SMILE CLOSE UP 09.21.2018.JPG,100.0
85,50572 NO SMILE CLOSE UP 9.21.2018.JPG,50572 NO SMILE CLOSE UP 9.21.2018.JPG,100.0
86,50581 NO SMILE CLOSE UP 3.12.2018.JPG,50581 NO SMILE CLOSE UP 3.12.2018.JPG,100.0
87,50582 NO SMILE CLOSE UP 3.12.2018.JPG,50582 NO SMILE CLOSE UP 3.12.2018.JPG,100.0
88,50591 NO SMILE CLOSE UP.JPG,50591 NO SMILE CLOSE UP.JPG,100.0
89,50592 NO SMILE CLOSE UP.JPG,50592 NO SMILE CLOSE UP.JPG,100.0
90,50601 NO SMILE CLOSE UP 2.21.18.JPG,50601 NO SMILE CLOSE UP 2.21.18.JPG,100.0
91,50602 NO SMILE CLOSE UP 2.21.18.JPG,50602 NO SMILE CLOSE UP 2.21.18.JPG,100.0
92,50611 NO SMILE CLOSE UP 3.2.18.JPG,50611 NO SMILE CLOSE UP 3.2.18.JPG,100.0
93,50612 NO SMILE CLOSE UP 3.2.18.JPG,50612 NO SMILE CLOSE UP 3.2.18.JPG,100.0
94,50621 NO SMILE CLOSE UP 2.23.18.JPG,50621 NO SMILE CLOSE UP 2.23.18.JPG,100.0
95,50622 NO SMILE CLOSE UP 2.21.18.JPG,50622 NO SMILE CLOSE UP 2.21.18.JPG,100.0
96,50641 NO SMILE CLOSE UP 3.318.JPG,50641 NO SMILE CLOSE UP 3.318.JPG,100.0
97,50642 NO SMILE CLOSE UP 3.1.18.JPG,50642 NO SMILE CLOSE UP 3.1.18.JPG,100.0
98,50651 NO SMILE CLOSE UP 3.21.18.JPG,50651 NO SMILE CLOSE UP 3.21.18.JPG,100.0
99,50652 NO SMILE CLOSE UP 3.21.18.JPG,50652 NO SMILE CLOSE UP 3.21.18.JPG,100.0
100,50661 NO SMILE CLOSE UP 3.23.2018.JPG,50661 NO SMILE CLOSE UP 3.23.2018.JPG,100.0
101,50662 NO SMILE CLOSE UP 3.23.2018.JPG,50662 NO SMILE CLOSE UP 3.23.2018.JPG,100.0
102,50671 NO SMILE CLOSE UP 3.24.18.JPG,50671 NO SMILE CLOSE UP 3.24.18.JPG,100.0
103,50672 NO SMILE CLOSE UP 3.24.18.JPG,50672 NO SMILE CLOSE UP 3.24.18.JPG,100.0
104,50681 NO SMILE CLOSE UP 3.18.18.JPG,50681 NO SMILE CLOSE UP 3.18.18.JPG,100.0
105,50682 NO SMILE CLOSE UP 3.18.18.JPG,50682 NO SMILE CLOSE UP 3.18.18.JPG,100.0
106,50691 NO SMILE CLOSE UP 3.28.2018.JPG,50691 NO SMILE CLOSE UP 3.28.2018.JPG,100.0
107,50692 NO SMILE CLOSE UP 3.28.2018.JPG,50692 NO SMILE CLOSE UP 3.28.2018.JPG,100.0
108,50701 NO SMILE CLOSE UP 3.19.18.JPG,50701 NO SMILE CLOSE UP 3.19.18.JPG,100.0
109,50702 NO SMILE CLOSE UP 3.12.18.JPG,50702 NO SMILE CLOSE UP 3.12.18.JPG,100.0
110,50721 NO SMILE CLOSE UP 3.15.18.JPG,50721 NO SMILE CLOSE UP 3.15.18.JPG,100.0
111,50722 NO SMILE CLOSE UP 3.15.18.JPG,50722 NO SMILE CLOSE UP 3.15.18.JPG,100.0
112,50731 NO SMILE CLOSE UP 3.25.18.JPG,50731 NO SMILE CLOSE UP 3.25.18.JPG,100.0
113,50732 NO SMILE CLOSE UP 3.25.18.JPG,50732 NO SMILE CLOSE UP 3.25.18.JPG,100.0
114,50741 NO SMILE CLOSE UP 3.31.18.JPG,50741 NO SMILE CLOSE UP 3.31.18.JPG,100.0
115,50742 NO SMILE CLOSE UP 3.31.18.JPG,50742 NO SMILE CLOSE UP 3.31.18.JPG,100.0
116,50751 NO SMILE CLOSE UP 3.22.2018.JPG,50751 NO SMILE CLOSE UP 3.22.2018.JPG,100.0
117,50752 CLOSE UP NO SMILE.JPG,50752 CLOSE UP NO SMILE.JPG,100.0
118,50771 NO SMILE CLOSE UP 4.26.18.JPG,50771 NO SMILE CLOSE UP 4.26.18.JPG,100.0
119,50772 NO SMILE CLOSE UP 4.26.18.JPG,50772 NO SMILE CLOSE UP 4.26.18.JPG,100.0
120,50781 NO SMILE CLOSE UP 4.23.18.JPG,50781 NO SMILE CLOSE UP 4.23.18.JPG,100.0
121,50782 NO SMILE CLOSE UP 04.02.2018.JPG,50782 NO SMILE CLOSE UP 04.02.2018.JPG,100.0
122,50791 CLOSE UP SERIOUS 6.6.18.JPG,50791 CLOSE UP SERIOUS 6.6.18.JPG,100.0
123,50792 CLOSE UP SERIOUS 6.6.18.JPG,50792 CLOSE UP SERIOUS 6.6.18.JPG,100.0
124,50811 NO SMILE CLOSE UP 4.8.18.JPG,50811 NO SMILE CLOSE UP 4.8.18.JPG,100.0
125,50812 NO SMILE CLOSE UP 4.8.18.JPG,50812 NO SMILE CLOSE UP 4.8.18.JPG,100.0
126,50821 NO SMILE 03.30.2018.JPG,50821 NO SMILE 03.30.2018.JPG,100.0
127,50822 NO SMILE 03.30.2018.JPG,50822 NO SMILE 03.30.2018.JPG,100.0
128,50831 NO SMILE CLOSE UP 4.3.18.JPG,50831 NO SMILE CLOSE UP 4.3.18.JPG,100.0
129,50832 NO SMILE CLOSE UP 4.3.18.JPG,50832 NO SMILE CLOSE UP 4.3.18.JPG,100.0
130,50841 CLOSE UP SERIOUS 5.30.18.JPG,50841 CLOSE UP SERIOUS 5.30.18.JPG,100.0
131,50842 CLOSE UP SERIOUS 5.30.18.JPG,50842 CLOSE UP SERIOUS 5.30.18.JPG,100.0
132,50851 NO SMILE CLOSE UP.JPG,50851 NO SMILE CLOSE UP.JPG,100.0
133,50852 NO SMILE CLOSE UP.JPG,50852 NO SMILE CLOSE UP.JPG,100.0
134,50861 NO SMILE CLOSE UP 7.12.18.JPG,50861 NO SMILE CLOSE UP 7.12.18.JPG,100.0
135,50862 NO SMILE CLOSE UP 7.12.18.JPG,50862 NO SMILE CLOSE UP 7.12.18.JPG,100.0
136,50871 NO SMILE UP CLOSE.JPG,50871 NO SMILE UP CLOSE.JPG,100.0
137,50872 NO SMILE UP CLOSE.JPG,50872 NO SMILE UP CLOSE.JPG,100.0
138,50881 CLOSE UP NO SMILE 5.19.18.JPG,50881 CLOSE UP NO SMILE 5.19.18.JPG,100.0
139,50882 CLOSE UP NO SMILE 5.19.18.JPG,50882 CLOSE UP NO SMILE 5.19.18.JPG,100.0
140,50891 NO SMILE CLOSE UP 5.15.18.JPG,50891 NO SMILE CLOSE UP 5.15.18.JPG,100.0
141,50892 NO SMILE CLOSE UP 6.22.18.JPG,50892 NO SMILE CLOSE UP 6.22.18.JPG,100.0
142,50901 NO SMILE CLOSE UP 4.28.2018.JPG,50901 NO SMILE CLOSE UP 4.28.2018.JPG,100.0
143,50902 NO SMILE CLOSE UP 5.7.18.JPG,50902 NO SMILE CLOSE UP 5.7.18.JPG,100.0
144,50951 NO SMILE CLOSE UP.JPG,50951 NO SMILE CLOSE UP.JPG,100.0
145,50952 NO SMILE CLOSE UP.JPG,50952 NO SMILE CLOSE UP.JPG,100.0
146,50981 NO SMILE CLOSE UP 5.29.18.JPG,50981 NO SMILE CLOSE UP 5.29.18.JPG,100.0
147,50982 NO SMILE CLOSE UP 5.29.18.JPG,50982 NO SMILE CLOSE UP 5.29.18.JPG,100.0
148,50991 NO SMILE CLOSE UP 7.13.18.JPG,50991 NO SMILE CLOSE UP 7.13.18.JPG,100.0
149,50992 NO SMILE CLOSE UP 7.13.18.JPG,50992 NO SMILE CLOSE UP 7.13.18.JPG,100.0
150,51001 NO SMILE CLOSE UP 5.22.18.JPG,51001 NO SMILE CLOSE UP 5.22.18.JPG,100.0
151,51002 NO SMILE CLOSE UP 5.22.18.JPG,51002 NO SMILE CLOSE UP 5.22.18.JPG,100.0
152,51021 NO SMILE CLOSE UP 6.5.18.JPG,51021 NO SMILE CLOSE UP 6.5.18.JPG,100.0
153,51022 NO SMILE CLOSE UP 6.5.18.JPG,51022 NO SMILE CLOSE UP 6.5.18.JPG,100.0
154,51041 NO SMILE CLOSE UP 6.3.18.JPG,51041 NO SMILE CLOSE UP 6.3.18.JPG,100.0
155,51042 NO SMILE CLOSE UP 6.3.18.JPG,51042 NO SMILE CLOSE UP 6.3.18.JPG,100.0
156,51051 CLOSE UP SERIOUS 6.22.18.JPG,51051 CLOSE UP SERIOUS 6.22.18.JPG,100.0
157,51052 NO SMILE CLOSE UP 6.5.2018.JPG,51052 NO SMILE CLOSE UP 6.5.2018.JPG,100.0
158,51061 NO SMILE CLOSE UP 7.7.18.JPG,51061 NO SMILE CLOSE UP 7.7.18.JPG,100.0
159,51062 NO SMILE CLOSE UP 7.2.18.JPG,51062 NO SMILE CLOSE UP 7.2.18.JPG,100.0
160,51091 CLOSE UP NO SMILE 6.13.18.JPG,51091 CLOSE UP NO SMILE 6.13.18.JPG,100.0
161,51092 CLOSE UP NO SMILE 6.13.18.JPG,51092 CLOSE UP NO SMILE 6.13.18.JPG,100.0
162,51101 UP CLOSE NO SMILE 9.17.18.JPG,51101 UP CLOSE NO SMILE 9.17.18.JPG,100.0
163,51102 UP CLOSE NO SMILE 9.17.18.JPG,51102 UP CLOSE NO SMILE 9.17.18.JPG,100.0
164,51111 NO SMILE CLOSE UP 7.1.18.JPG,51111 NO SMILE CLOSE UP 7.1.18.JPG,100.0
165,51112 NO SMILE CLOSE UP 6.20.18.JPG,51112 NO SMILE CLOSE UP 6.20.18.JPG,100.0
166,51121 NO SMILE CLOSE UP 7.28.18.JPG,51121 NO SMILE CLOSE UP 7.28.18.JPG,100.0
167,51122 NO SMILE UP CLOSE 7.28.18.JPG,51122 NO SMILE UP CLOSE 7.28.18.JPG,100.0
168,51131 NO SMILE CLOSE UP 8.17.18.JPG,51131 NO SMILE CLOSE UP 8.17.18.JPG,100.0
169,51132 NO SMILE CLOSE UP 8.17.18.JPG,51132 NO SMILE CLOSE UP 8.17.18.JPG,100.0
170,51141 NO SMILE CLOSE UP 7.9.18.JPG,51141 NO SMILE CLOSE UP 7.9.18.JPG,100.0
171,51142 NO SMILE CLOSE UP 7.9.18.JPG,51142 NO SMILE CLOSE UP 7.9.18.JPG,100.0
172,51161 NO SMILE CLOSE UP 6.28.18.JPG,51161 NO SMILE CLOSE UP 6.28.18.JPG,100.0
173,51162 NO SMILE CLOSE UP 6.28.18.JPG,51162 NO SMILE CLOSE UP 6.28.18.JPG,100.0
174,51171 NO SMILE CLOSE UP 7.10.18.JPG,51171 NO SMILE CLOSE UP 7.10.18.JPG,100.0
175,51172 NO SMILE CLOSE UP 7.10.18.JPG,51172 NO SMILE CLOSE UP 7.10.18.JPG,100.0
176,51181 NO SMILE CLOSE UP 7.24.18.JPG,51181 NO SMILE CLOSE UP 7.24.18.JPG,100.0
177,51182  NO SMILE CLOSE UP 7.24.18.JPG,51182  NO SMILE CLOSE UP 7.24.18.JPG,100.0
178,51191 NO SMILE CLOSE UP 9.28.18.JPG,51191 NO SMILE CLOSE UP 9.28.18.JPG,100.0
179,51192 NO SMILE CLOSE UP 9.28.18.JPG,51192 NO SMILE CLOSE UP 9.28.18.JPG,100.0
180,51221 NO SMILE UP CLOSE 9.3.18.JPG,51221 NO SMILE UP CLOSE 9.3.18.JPG,100.0
181,51222 NO SMILE UP CLOSE 9.3.18.JPG,51222 NO SMILE UP CLOSE 9.3.18.JPG,100.0
182,51261 NO SMILE CLOSE UP 8.31.18.JPG,51261 NO SMILE CLOSE UP 8.31.18.JPG,100.0
183,51262 NO SMILE CLOSE UP 9-6-18.JPG,51262 NO SMILE CLOSE UP 9-6-18.JPG,100.0
184,51271 NO SMILE CLOSE UP 09.25.18.JPG,51271 NO SMILE CLOSE UP 09.25.18.JPG,100.0
185,51272 CLOSE UP SMILE 1.15.19.JPG,51272 CLOSE UP SMILE 1.15.19.JPG,100.0
186,51291 UP CLOSE NO SMILE 2.2.19.JPG,51291 UP CLOSE NO SMILE 2.2.19.JPG,100.0
187,51292 UP CLOSE NO SMILE 2.2.19.JPG,51292 UP CLOSE NO SMILE 2.2.19.JPG,100.0
188,51301 NO SMILE CLOSE UP 09.26.18.JPG,51301 NO SMILE CLOSE UP 09.26.18.JPG,100.0
189,51302 NO SMILE CLOSE UP 09.26.18.JPG,51302 NO SMILE CLOSE UP 09.26.18.JPG,100.0
190,51341 NO SMILE CLOSE UP 10.19.18.JPG,51341 NO SMILE CLOSE UP 10.19.18.JPG,100.0
191,51342 NO SMILE CLOSE UP 10.19.18.JPG,51342 NO SMILE CLOSE UP 10.19.18.JPG,100.0
192,51351 NO SMILE CLOSE UP 10.11.18.JPG,51351 NO SMILE CLOSE UP 10.11.18.JPG,100.0
193,51352 NO SMILE CLOSE UP 11.18.18.JPG,51352 NO SMILE CLOSE UP 11.18.18.JPG,100.0
194,51361 NO SMILE CLOSE UP 11.14.18.JPG,51361 NO SMILE CLOSE UP 11.14.18.JPG,100.0
195,51362 NO SMILE CLOSE UP 11.14.18.JPG,51362 NO SMILE CLOSE UP 11.14.18.JPG,100.0
196,51381 NO SMILE CLOSE UP.JPG,51381 NO SMILE CLOSE UP.JPG,100.0
197,51382 NO SMILE CLOSE UP.JPG,51382 NO SMILE CLOSE UP.JPG,100.0
198,51401 NO SMILE CLOSE UP 11.3.18.JPG,51401 NO SMILE CLOSE UP 11.3.18.JPG,100.0
199,51402 NO SMILE CLOSE UP 11.3.18.JPG,51402 NO SMILE CLOSE UP 11.3.18.JPG,100.0
200,51411 NO SMILE CLOSE UP 11.11.18.JPG,51411 NO SMILE CLOSE UP 11.11.18.JPG,100.0
201,51412 NO SMILE BUST 11.11.18.JPG,51412 NO SMILE BUST 11.11.18.JPG,100.0
202,51431 UP CLOSE NO SMILE 12.3.18.JPG,51431 UP CLOSE NO SMILE 12.3.18.JPG,100.0
203,51432 UP CLOSE NO SMILE 12.3.18.JPG,51432 UP CLOSE NO SMILE 12.3.18.JPG,100.0
204,51441 NO SMILE CLOSE UP 11.27.18.JPG,51441 NO SMILE CLOSE UP 11.27.18.JPG,100.0
205,51442 NO SMILE CLOSE UP 12.02.18.JPG,51442 NO SMILE CLOSE UP 12.02.18.JPG,100.0
206,51451 NO SMILE CLOSE UP 11.29.18.JPG,51451 NO SMILE CLOSE UP 11.29.18.JPG,100.0
207,51452 NO SMILE CLOSE UP 11.29.18.JPG,51452 NO SMILE CLOSE UP 11.29.18.JPG,100.0
208,51461 NO SMILE CLOSE UP 11.30.18.JPG,51461 NO SMILE CLOSE UP 11.30.18.JPG,100.0
